"","V1","V2"
"c.18..165.",18,165
"c.18..218.",18,218
"c.18..257.",18,257
"c.18..275.",18,275
"c.18..281.",18,281
"c.18..295.",18,295
"c.18..312.",18,312
"c.18..313.",18,313
"c.18..325.",18,325
"c.18..337.",18,337
"c.18..361.",18,361
"c.18..366.",18,366
"c.18..377.",18,377
"c.18..411.",18,411
"c.18..422.",18,422
"c.18..440.",18,440
"c.18..478.",18,478
"c.18..493.",18,493
"c.18..504.",18,504
"c.19..31.",19,31
"c.19..88.",19,88
"c.19..92.",19,92
"c.19..117.",19,117
"c.19..122.",19,122
"c.19..127.",19,127
"c.19..134.",19,134
"c.19..139.",19,139
"c.19..178.",19,178
"c.19..181.",19,181
"c.19..190.",19,190
"c.19..241.",19,241
"c.19..249.",19,249
"c.19..253.",19,253
"c.19..258.",19,258
"c.19..303.",19,303
"c.19..312.",19,312
"c.19..325.",19,325
"c.19..351.",19,351
"c.19..376.",19,376
"c.19..385.",19,385
"c.19..389.",19,389
"c.19..407.",19,407
"c.19..408.",19,408
"c.19..426.",19,426
"c.19..427.",19,427
"c.19..478.",19,478
"c.19..488.",19,488
"c.19..508.",19,508
"c.20..23.",20,23
"c.20..75.",20,75
"c.20..88.",20,88
"c.20..92.",20,92
"c.20..105.",20,105
"c.20..107.",20,107
"c.20..143.",20,143
"c.20..160.",20,160
"c.20..162.",20,162
"c.20..165.",20,165
"c.20..218.",20,218
"c.20..241.",20,241
"c.20..275.",20,275
"c.20..312.",20,312
"c.20..313.",20,313
"c.20..317.",20,317
"c.20..325.",20,325
"c.20..351.",20,351
"c.20..361.",20,361
"c.20..366.",20,366
"c.20..377.",20,377
"c.20..411.",20,411
"c.20..422.",20,422
"c.20..478.",20,478
"c.20..488.",20,488
"c.20..508.",20,508
"c.21..24.",21,24
"c.21..35.",21,35
"c.21..42.",21,42
"c.21..87.",21,87
"c.21..125.",21,125
"c.21..182.",21,182
"c.21..189.",21,189
"c.21..214.",21,214
"c.21..223.",21,223
"c.21..225.",21,225
"c.21..243.",21,243
"c.21..262.",21,262
"c.21..271.",21,271
"c.21..274.",21,274
"c.21..276.",21,276
"c.21..309.",21,309
"c.21..327.",21,327
"c.21..356.",21,356
"c.21..382.",21,382
"c.21..395.",21,395
"c.21..415.",21,415
"c.21..434.",21,434
"c.21..458.",21,458
"c.21..460.",21,460
"c.21..463.",21,463
"c.21..476.",21,476
"c.21..494.",21,494
"c.21..495.",21,495
"c.22..36.",22,36
"c.22..47.",22,47
"c.22..80.",22,80
"c.22..84.",22,84
"c.22..98.",22,98
"c.22..110.",22,110
"c.22..114.",22,114
"c.22..121.",22,121
"c.22..126.",22,126
"c.22..163.",22,163
"c.22..173.",22,173
"c.22..184.",22,184
"c.22..200.",22,200
"c.22..215.",22,215
"c.22..216.",22,216
"c.22..221.",22,221
"c.22..234.",22,234
"c.22..283.",22,283
"c.22..302.",22,302
"c.22..311.",22,311
"c.22..321.",22,321
"c.22..341.",22,341
"c.22..367.",22,367
"c.22..378.",22,378
"c.22..397.",22,397
"c.22..398.",22,398
"c.22..430.",22,430
"c.22..431.",22,431
"c.22..502.",22,502
"c.23..75.",23,75
"c.23..92.",23,92
"c.23..122.",23,122
"c.23..134.",23,134
"c.23..139.",23,139
"c.23..160.",23,160
"c.23..178.",23,178
"c.23..181.",23,181
"c.23..241.",23,241
"c.23..257.",23,257
"c.23..275.",23,275
"c.23..303.",23,303
"c.23..312.",23,312
"c.23..317.",23,317
"c.23..325.",23,325
"c.23..351.",23,351
"c.23..361.",23,361
"c.23..376.",23,376
"c.23..377.",23,377
"c.23..385.",23,385
"c.23..402.",23,402
"c.23..407.",23,407
"c.23..408.",23,408
"c.23..426.",23,426
"c.23..454.",23,454
"c.23..478.",23,478
"c.23..504.",23,504
"c.23..508.",23,508
"c.24..42.",24,42
"c.24..48.",24,48
"c.24..61.",24,61
"c.24..87.",24,87
"c.24..119.",24,119
"c.24..125.",24,125
"c.24..138.",24,138
"c.24..182.",24,182
"c.24..189.",24,189
"c.24..214.",24,214
"c.24..223.",24,223
"c.24..225.",24,225
"c.24..243.",24,243
"c.24..274.",24,274
"c.24..276.",24,276
"c.24..291.",24,291
"c.24..309.",24,309
"c.24..333.",24,333
"c.24..356.",24,356
"c.24..382.",24,382
"c.24..383.",24,383
"c.24..395.",24,395
"c.24..434.",24,434
"c.24..458.",24,458
"c.24..460.",24,460
"c.24..463.",24,463
"c.24..476.",24,476
"c.24..494.",24,494
"c.25..38.",25,38
"c.25..53.",25,53
"c.25..60.",25,60
